date,temp_max,temp_min,rain,wind_speed,province,lat,lon
2015-08-10,31.6,24.7,11.6,12.7,Phnom Penh,11.55,104.91
2015-08-11,32.1,25.4,4.7,12.8,Phnom Penh,11.55,104.91
2015-08-12,31.7,25.0,4.0,10.8,Phnom Penh,11.55,104.91
2015-08-13,33.3,25.6,2.6,11.8,Phnom Penh,11.55,104.91
2015-08-14,33.5,25.5,2.6,14.0,Phnom Penh,11.55,104.91
2015-08-15,34.1,25.1,1.1,12.4,Phnom Penh,11.55,104.91
2015-08-16,33.3,25.0,0.6,8.1,Phnom Penh,11.55,104.91
2015-08-17,34.1,26.2,4.1,13.8,Phnom Penh,11.55,104.91
2015-08-18,34.7,25.2,6.2,11.0,Phnom Penh,11.55,104.91
2015-08-19,33.8,25.5,5.3,12.6,Phnom Penh,11.55,104.91
2015-08-20,33.1,25.5,7.3,10.2,Phnom Penh,11.55,104.91
2015-08-21,32.4,25.5,3.9,15.4,Phnom Penh,11.55,104.91
2015-08-22,32.8,25.6,2.2,20.4,Phnom Penh,11.55,104.91
2015-08-23,33.6,26.1,2.7,15.8,Phnom Penh,11.55,104.91
2015-08-24,34.0,26.2,2.2,14.8,Phnom Penh,11.55,104.91
2015-08-25,31.7,26.0,14.6,17.1,Phnom Penh,11.55,104.91
2015-08-26,29.1,24.4,12.4,12.6,Phnom Penh,11.55,104.91
2015-08-27,31.9,24.7,0.2,8.8,Phnom Penh,11.55,104.91
2015-08-28,33.7,24.0,0.6,13.6,Phnom Penh,11.55,104.91
2015-08-29,33.0,24.8,11.1,13.8,Phnom Penh,11.55,104.91
2015-08-30,33.1,25.4,3.0,15.1,Phnom Penh,11.55,104.91
2015-08-31,32.6,25.7,3.3,13.9,Phnom Penh,11.55,104.91
2015-09-01,31.6,25.8,5.0,17.4,Phnom Penh,11.55,104.91
2015-09-02,33.0,25.6,8.1,9.4,Phnom Penh,11.55,104.91
2015-09-03,33.2,24.4,2.0,11.8,Phnom Penh,11.55,104.91
2015-09-04,32.8,25.0,1.9,12.7,Phnom Penh,11.55,104.91
2015-09-05,34.2,24.5,2.0,16.2,Phnom Penh,11.55,104.91
2015-09-06,34.9,25.3,0.2,16.6,Phnom Penh,11.55,104.91
2015-09-07,35.1,25.3,1.1,15.5,Phnom Penh,11.55,104.91
2015-09-08,33.4,26.1,9.3,11.6,Phnom Penh,11.55,104.91
2015-09-09,31.7,25.7,20.0,12.0,Phnom Penh,11.55,104.91
2015-09-10,29.6,24.5,6.8,12.3,Phnom Penh,11.55,104.91
2015-09-11,31.7,24.5,3.9,12.7,Phnom Penh,11.55,104.91
2015-09-12,32.3,25.1,8.8,12.7,Phnom Penh,11.55,104.91
2015-09-13,28.7,25.1,19.4,14.8,Phnom Penh,11.55,104.91
2015-09-14,30.9,24.6,6.5,19.1,Phnom Penh,11.55,104.91
2015-09-15,28.7,24.5,16.0,11.4,Phnom Penh,11.55,104.91
2015-09-16,29.2,24.0,16.2,22.1,Phnom Penh,11.55,104.91
2015-09-17,26.6,24.2,18.2,22.6,Phnom Penh,11.55,104.91
2015-09-18,30.5,24.0,2.9,8.7,Phnom Penh,11.55,104.91
2015-09-19,32.8,23.7,0.2,9.7,Phnom Penh,11.55,104.91
